diagnosis_DSM5,description
D5_1,Neurobiologische ontwikkelingsstoornissen
D5_1.01,Verstandelijke beperkingen
D5_1.01.01,Verstandelijke beperking: licht
D5_1.01.02,Verstandelijke beperking: matig
D5_1.01.03,Verstandelijke beperking: ernstig
D5_1.01.04,Verstandelijke beperking: zeer ernstig
D5_1.01.05,Globale ontwikkelingsachterstand
D5_1.01.06,Ongespecificeerde verstandelijke beperking (verstandelijke ontwikkelingsstoornis)
D5_1.02,Communicatiestoornissen
D5_1.02.01,Taalstoornis
D5_1.02.02,Spraakklankstoornis
D5_1.02.03,Stoornis in spraakvloeiendheid
D5_1.02.03.01,Stoornis in spraakvloeiendheid ontstaan in de volwassenheid
D5_1.02.03.02,Stoornis in spraakvloeiendheid ontstaan in de kindertijd (ontwikkelingsstotteren)
D5_1.02.04,Sociale (pragmatische) communicatiestoornis
D5_1.02.05,Ongespecificeerde communicatiestoornis
D5_1.03,Autismespectrumstoornis
D5_1.03.01,Autismespectrumstoornis
D5_1.04,Aandachtsdefici�ntie-/hyperactiviteitsstoornis
D5_1.04.01,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: gecombineerd beeld
D5_1.04.02,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: gecombineerd beeld - gedeeltelijk in remissie
D5_1.04.03,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: overwegend onoplettend beeld
D5_1.04.04,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: overwegend onoplettend beeld - gedeeltelijk in remissie
D5_1.04.05,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: overwegend hyperactief-impulsief beeld
D5_1.04.06,Aandachtsdefici�ntie-/hyperactiviteitsstoornis: overwegend hyperactief-impulsief beeld - gedeeltelijk in remissie
D5_1.04.07,Andere gespecificeerde aandachtsdefici�ntie-/hyperactiviteitsstoornis
D5_1.04.08,Ongespecificeerde aandachtsdefici�ntie-/hyperactiviteitsstoornis
D5_1.05,Specifieke leerstoornis
D5_1.05.01,Specifieke leerstoornis: met beperkingen in het lezen
D5_1.05.02,Specifieke leerstoornis: met beperkingen in de schriftelijke uitdrukkingsvaardigheid
D5_1.05.03,Specifieke leerstoornis: met beperkingen in het rekenen
D5_1.06,Motorische stoornissen
D5_1.06.01,Co�rdinatieontwikkelingsstoornis
D5_1.06.02,Stereotiepe-bewegingsstoornis
D5_1.06.02.01,Stereotiepe-bewegingsstoornis: met zelfbeschadigende handelingen
D5_1.07,Ticstoornissen
D5_1.07.01,Stoornis van Gilles de la Tourette
D5_1.07.02,Persisterende (chronische) motorische- of vocale-ticstoornis
D5_1.07.03,Voorlopige ticstoornis
D5_1.07.04,Andere gespecificeerde ticstoornis
D5_1.07.05,Ongespecificeerde ticstoornis
D5_1.08,Andere neurobiologische ontwikkelingsstoornissen
D5_1.08.01,Andere gespecificeerde neurobiologische ontwikkelingsstoornis
D5_1.08.02,Ongespecificeerde neurobiologische ontwikkelingsstoornis
D5_10,Voedings- en eetstoornissen
D5_10.01,Pica
D5_10.02,Ruminatiestoornis
D5_10.03,Vermijdende/restrictieve voedselinnamestoornis
D5_10.04,Anorexia nervosa
D5_10.04.01,Anorexia nervosa: restrictieve type
D5_10.04.02,Anorexia nervosa: eetbuien- /purgerende type
D5_10.05,Bulimia nervosa
D5_10.05.01,Eetbuistoornis: licht
D5_10.05.02,"Eetbuistoornis: matig, ernstig, zeer ernstig"
D5_10.06,Andere voedings- of eetstoornissen
D5_10.06.01,Andere gespecificeerde voedings- of eetstoornis
D5_10.06.02,Ongespecificeerde voedings- of eetstoornis
D5_11,Stoornissen in de zindelijkheid
D5_11.01,Enuresis
D5_11.01.01,Enuresis: alleen 's nachts
D5_11.01.02,Enuresis: alleen overdag
D5_11.01.03,Enuresis: s Nachts en overdag
D5_11.02,Encopresis
D5_11.02.01,Encopresis: met obstipatie en overloop incontinentie
D5_11.02.02,Encopresis: zonder obstipatie en overloop incontinentie
D5_11.03,Andere stoornissen in de zindelijkheid
D5_11.03.01,Andere gespecificeerde stoornis in de zindelijkheid met urinaire symptomen
D5_11.03.02,Andere gespecificeerde stoornis in de zindelijkheid: met fecale symptomen
D5_11.03.03,Ongespecificeerde stoornis in de zindelijkheid met urinaire symptomen
D5_11.03.04,Ongespecificeerde stoornis in de zindelijkheid: met fecale symptomen
D5_12,Slaap-waakstoornissen
D5_12.01,Insomniastoornis
D5_12.02,Hypersomnolentiestoornis
D5_12.03,Narcolepsie
D5_12.03.01,"Narcolepsie: met kataplexie,zonder hypocretinedefici�ntie"
D5_12.03.02,Narcolepsie: secundair aan een andere somatische aandoening
D5_12.04,Ademhalingsgerelateerde slaapstoornissen
D5_12.04.01,Obstructieve-slaapapneu/hypopneusyndroom
D5_12.04.02,Centrale slaapapneusyndroom
D5_12.04.02.01,Idiopatische centrale-slaapapneusyndroom
D5_12.04.02.02,Cheyne-Stokes-ademhaling
D5_12.04.02.03,Centrale slaapapneusyndroom bij het gebruik van opio�den
D5_12.04.03,Slaapgerelateerde hypoventilatie
D5_12.04.03.01,Idiopatische hypoventilatie
D5_12.04.03.02,Congenitale centrale alveolaire hypoventilatie
D5_12.04.03.03,Comorbide slaapgerelateerde hypoventilatie
D5_12.04.04,Circadianeritme-slaap-waakstoornissen
D5_12.04.04.01,Circadianeritme-slaap-waakstoornissen: type verlate slaapfase
D5_12.04.04.02,Circadianeritme-slaap-waakstoornissen: type ploegendienst
D5_12.04.04.03,Circadianeritme-slaap-waakstoornissen: ongespecificeerde circadianeritme-slaap-waakstoornissen
D5_12.05,Parasomnia's
D5_12.05.01,Non-remslaap-arausalstoornissen
D5_12.05.01.01,Non-remslaap-arausalstoornissen: type slaapwandelen
D5_12.05.01.02,Non-remslaap-arausalstoornissen: type pavor nocturnus
D5_12.05.02,Nachtmerriestoornis
D5_12.05.03,Remslaapgedragstoornis
D5_12.05.04,Rustelozebenensyndroom
D5_12.05.05,Slaapstoornis door een middel / medicatie
D5_12.05.05.01,Slaapstoornis door alcohol
D5_12.05.05.01.01,Slaapstoornis door alcohol: met begin tijdens intoxicatie
D5_12.05.05.01.02,Slaapstoornis door alcohol: met begin tijdens onttrekking
D5_12.05.05.01.03,Slaapstoornis door alcohol: insomnia type
D5_12.05.05.01.04,Slaapstoornis door alcohol: type met slaperigheid
D5_12.05.05.01.05,Slaapstoornis door alcohol: parasomnia type
D5_12.05.05.01.06,Slaapstoornis door alcohol: gemengd type
D5_12.05.05.02,Slaapstoornis door cafe�ne
D5_12.05.05.02.01,Slaapstoornis door cafe�ne: insomnia type
D5_12.05.05.02.02,Slaapstoornis door cafe�ne: type met slaperigheid
D5_12.05.05.02.03,Slaapstoornis door cafe�ne: parasomnia type
D5_12.05.05.02.04,Slaapstoornis door cafe�ne: gemengd type
D5_12.05.05.02.05,Slaapstoornis door cannabis
D5_12.05.05.03,Slaapstoornis door stimulantia
D5_12.05.05.03.01,Slaapstoornis door stimulantia: insomnia type
D5_12.05.05.03.02,Slaapstoornis door stimulantia: type met slaperigheid
D5_12.05.05.03.03,Slaapstoornis door stimulantia: parasomnia type
D5_12.05.05.03.04,Slaapstoornis door stimulantia: gemengd type
D5_12.05.05.04,Slaapstoornis door opio�den
D5_12.05.05.04.01,Slaapstoornis door opio�den: insomnia type
D5_12.05.05.04.02,Slaapstoornis door opio�den: type met slaperigheid
D5_12.05.05.04.03,Slaapstoornis door opio�den: parasomnia type
D5_12.05.05.04.04,Slaapstoornis door opio�den: gemengd type
D5_12.05.05.05,Slaapstoornis door hypnotica of anxiolytica
D5_12.05.05.05.01,Slaapstoornis door hypnotica of anxiolytica: insomnia type
D5_12.05.05.05.02,Slaapstoornis door hypnotica of anxiolytica: type met slaperigheid
D5_12.05.05.05.03,Slaapstoornis door hypnotica of anxiolytica: parasomnia type
D5_12.05.05.05.04,Slaapstoornis door hypnotica of anxiolytica: gemengd type
D5_12.05.05.05.05,Slaapstoornis door tabak
D5_12.05.05.06,Slaapstoornis door een ander (of onbekend) middel
D5_12.05.05.06.01,Slaapstoornis door een ander (of onbekend) middel: insomnia type
D5_12.05.05.06.02,Slaapstoornis door een ander (of onbekend) middel: type met slaperigheid
D5_12.05.05.06.03,Slaapstoornis door een ander (of onbekend) middel: parasomnia type
D5_12.05.05.06.04,Slaapstoornis door een ander (of onbekend) middel: gemengd type
D5_12.06,Andere slaap- waakstoornissen
D5_12.06.01,Andere gespecificeerde insomniastoornis
D5_12.06.02,Ongespecificeerde insomniastoornis
D5_12.06.03,Andere gespecificeerde hypersomnolentiestoornis
D5_12.06.04,Ongespecificeerde hypersomnolentiestoornis
D5_12.06.05,Andere gespecificeerde slaap-waakstoornis
D5_12.06.06,Ongespecificeerde slaap-waakstoornis
D5_13,Seksuele disfuncties
D5_13.01,Vertraagde ejaculatie
D5_13.02,Erectiestoornis
D5_13.03,Orgasmestoornis bij de vrouw
D5_13.04,Seksuele-interesse-/opwindingsstoornis bij de vrouw
D5_13.05,Genitopelvienepijn-/penetratiestoornis
D5_13.06,Hypoactief-seksueelverlangenstoornis bij de man
D5_13.07,Voortijdige ejaculatie
D5_13.08,Seksuele disfunctie door een middel / medicatie
D5_13.08.01,Seksuele disfunctie door alcohol
D5_13.08.01.01,Seksuele disfunctie door alcohol: met begin tijdens intoxicatie
D5_13.08.01.02,Seksuele disfunctie door alcohol: met begin tijdens onttrekking
D5_13.08.02,Seksuele disfunctie door een opio�de
D5_13.08.02.01,Seksuele disfunctie door een opio�de: met begin tijdens intoxicatie
D5_13.08.02.02,Seksuele disfunctie door een opio�de: met begin tijdens onttrekking
D5_13.08.03,Seksuele disfunctie door hypnotica of anxiolytica
D5_13.08.03.01,Seksuele disfunctie door hypnotica of anxiolytica: met begin tijdens intoxicatie
D5_13.08.03.02,Seksuele disfunctie door hypnotica of anxiolytica: met begin tijdens onttrekking
D5_13.08.04,Seksuele disfunctie door amfetamine (of andere stimulantia)
D5_13.08.04.01,Seksuele disfunctie door amfetamine (of andere stimulantia): met begin tijdens intoxicatie
D5_13.08.04.02,Seksuele disfunctie door amfetamine (of andere stimulantia): met begin tijdens onttrekking
D5_13.08.05,Seksuele disfunctie door coca�ne
D5_13.08.05.01,Seksuele disfunctie door coca�ne: met begin tijdens intoxicatie
D5_13.08.06,Seksuele disfunctie door een ander (of onbekend) middel
D5_13.08.06.01,Seksuele disfunctie door een ander (of onbekend) middel: met begin tijdens intoxicatie
D5_13.08.06.02,Seksuele disfunctie door een ander (of onbekend) middel: met begin tijdens ontrekking
D5_13.09,Andere seksuele disfuncties
D5_13.09.01,Andere gespecificeerde seksuele disfunctie
D5_13.09.02,Ongespecificeerde seksuele disfunctie
D5_14,Genderdysforie
D5_14.01,Genderdysforie bij adolescenten of volwassenen
D5_14.02,Andere genderdysforie
D5_14.02.01,Ongespecificeerde genderdysforie
D5_14.02.02,Andere gespecificeerde genderdysforie
D5_15,"Disruptieve, impulsbeheersings- en andere gedragsstoornissen"
D5_15.01,Oppositioneel-opstandige gedragsstoornis
D5_15.02,Periodieke explosieve stoornis
D5_15.03,Normoverschrijdend-gedragsstoornis
D5_15.03.01,Normoverschrijdend-gedragsstoornis: met begin in de kindertijd
D5_15.03.02,Normoverschrijdend-gedragsstoornis: met begin in de adolescentie
D5_15.03.03,Normoverschrijdend-gedragsstoornis: begin ongespecificeerd
D5_15.04,Antisociale persoonlijkheidsstoornis
D5_15.05,Kleptomanie
D5_15.06,Pyromanie
D5_15.07,"Andere disruptieve, impulsbeheersings- of andere gedragsstoornissen"
D5_15.07.01,"Andere gespecificeerde disruptieve, impulsbeheersings- of andere gedragsstoornis"
D5_15.07.02,"Ongespecificeerde disruptieve, impulsbeheersings- of andere gedragsstoornis"
D5_16,Middelgerelateerde en verslavingsstoornissen
D5_16.01,Middelgerelateerde stoornissen
D5_16.01.01,Alcoholgerelateerde stoornissen
D5_16.01.01.01,Stoornis in alcoholgebruik
D5_16.01.01.01.01,Stoornis in alcoholgebruik: licht
D5_16.01.01.01.02,Stoornis in alcoholgebruik: matig
D5_16.01.01.01.03,Stoornis in alcoholgebruik: ernstig
D5_16.01.01.02,Alcoholintoxicatie
D5_16.01.01.03,Alcoholonttrekkingssyndroom
D5_16.01.01.03.01,Alcoholonttrekkingssyndroom: met perceptiestoornissen
D5_16.01.01.03.02,Alcoholonttrekkingssyndroom
D5_16.01.01.04,Ongespecificeerde alcoholgerelateerde stoornis
D5_16.01.02,Cafe�negerelateerde stoornissen
D5_16.01.02.01,Cafe�ne-intoxicatie
D5_16.01.02.02,Cafe�neonttrekkingssyndroom
D5_16.01.02.03,Ongespecificeerde cafe�negerelateerde stoornis
D5_16.01.03,Cannabis gerelateerde stoornissen
D5_16.01.03.01,Stoornis in cannabisgebruik
D5_16.01.03.01.01,Stoornis in cannabisgebruik: licht
D5_16.01.03.01.02,"Stoornis in cannabisgebruik: matig, ernstig"
D5_16.01.03.02,Cannabisintoxicatie
D5_16.01.03.03,Cannabisonttrekkingssyndroom
D5_16.01.03.04,Ongespecificeerde cannabis gerelateerde stoornis
D5_16.01.04,Hallucinogeen gerelateerde stoornissen
D5_16.01.04.01,Stoornis in fencyclidinegebruik
D5_16.01.04.01.01,Stoornis in fencyclidinegebruik: licht
D5_16.01.04.01.02,"Stoornis in fencyclidinegebruik: matig, ernstig"
D5_16.01.04.02,Stoornis in het gebruik van een hallucinogeen
D5_16.01.04.02.01,Stoornis in het gebruik van een hallucinogeen: licht
D5_16.01.04.02.02,"Stoornis in het gebruik van een hallucinogeen: matig, ernstig"
D5_16.01.04.03,Fencyclidine-intoxicatie
D5_16.01.04.04,Intoxicatie door een hallucinogeen
D5_16.01.04.05,Persisterende perceptiestoornis door een hallucinogeen
D5_16.01.04.06,Ongespecificeerde fencyclidinegerelateerde stoornis
D5_16.01.04.07,Ongespecificeerde hallucinogeengerelateerde stoornis
D5_16.01.05,Inhalantium gerelateerde stoornissen
D5_16.01.05.01,Stoornis in het gebruik van een inhalantium
D5_16.01.05.01.01,Stoornis in het gebruik van een inhalantium: licht
D5_16.01.05.01.02,"Stoornis in het gebruik van een inhalantium: matig, ernstig"
D5_16.01.05.02,Intoxicatie door een inhalantium
D5_16.01.05.03,Ongespecificeerde inhalantiumgerelateerde stoornis
D5_16.01.06,Opio�de gerelateerde stoornissen
D5_16.01.06.01,Stoornis in het gebruik van een opio�de
D5_16.01.06.01.01,Stoornis in het gebruik van een opio�de: licht
D5_16.01.06.01.02,"Stoornis in het gebruik van een opio�de: matig, ernstig"
D5_16.01.06.02,Intoxicatie door een opio�de
D5_16.01.06.03,Onttrekkingssyndroom van een opio�de
D5_16.01.06.04,Ongespecificeerde opio�degerelateerde stoornis
D5_16.01.07,Hypnoticum- of anxiolyticum gerelateerde stoornissen
D5_16.01.07.01,Stoornis in het gebruik van een hypnoticum of anxiolyticum
D5_16.01.07.01.01,Stoornis in het gebruik van een hypnoticum of anxiolyticum: licht
D5_16.01.07.01.02,"Stoornis in het gebruik van een hypnoticum of anxiolyticum: matig, ernstig"
D5_16.01.07.02,Intoxicatie door een hypnoticum of anxiolyticum
D5_16.01.07.03,Onttrekkingssyndroom van een hypnoticum of anxiolyticum
D5_16.01.07.04,Ongespecificeerde hypnoticum- of anxiolyticumgerelateerde stoornis
D5_16.01.08,Stimulantium gerelateerde stoornissen
D5_16.01.08.01,Stoornis in het gebruik van een stimulantium
D5_16.01.08.01.01,Stoornis in het gebruik van een stimulantium: amfetamineachtig middel
D5_16.01.08.01.01.01,Stoornis in het gebruik van een amfetamineachtig middel: licht
D5_16.01.08.01.01.02,"Stoornis in het gebruik van een amfetamineachtig middel: matig, ernstig"
D5_16.01.08.01.02,Stoornis in het gebruik van coca�ne
D5_16.01.08.01.02.01,Stoornis in het gebruik van coca�ne: licht
D5_16.01.08.01.02.02,"Stoornis in het gebruik van coca�ne: matig, ernstig"
D5_16.01.08.01.03,Stoornis in het gebruik van een ander of ongespecificeerd stimulantium
